institution_id,institution_name,total_courses,total_reviews,average_rating
1,"""Xian Jiaotong University""",15,2421,4.5
2,Advancing Women in Tech,45,8985,4.6
3,"Akamai Technologies, Inc.",27,234,4.8
4,Alberta Machine Intelligence Institute,3,1230,4.7
5,Alfaisal University | KLD,159,17772,4.9
6,Alibaba Cloud Academy,3,147,4.4
7,Amazon Ads ,3,0,
8,Amazon Web Services,114,83874,4.7
9,"Amazon Web Services, NVIDIA",3,0,
10,American Museum of Natural History,30,13593,4.7
11,"American Museum of Natural History, Howard Hughes Medical Institute ",3,9426,4.8
12,American Psychological Association,24,504,4.7
13,Anaplan,6,21,4.9
14,Aptly,3,309,4.6
15,Arizona State University,336,110682,4.9
16,"Arizona State University, Universidad Nacional Autónoma de México",6,8430,4.8
17,Arm,3,261,4.6
18,Association of International Certified Professional Accountants,12,1503,4.5
19,Atlassian,6,33999,4.7
20,Autodesk,96,146241,4.7
21,"Automatic Data Processing, Inc. (ADP)",27,171,4.7
22,Automation Anywhere,9,2367,4.6
23,Ball State University,3,0,
24,Banco Interamericano de Desarrollo,102,2127,4.8
25,Berklee,162,82836,4.8
26,"Berklee, Banco Interamericano de Desarrollo",21,7020,4.8
27,Big Interview,3,87,4.5
28,"Birla Institute of Technology & Science, Pilani",12,252,4.5
29,Blue Prism,3,87,4.6
30,Board Infinity ,75,3552,4.1
31,Brightline Initiative,6,4590,4.8
32,CVS Health,15,576,4.6
33,California Institute of the Arts,132,595395,4.7
34,Caltech,15,7827,4.7
35,Campus BBVA,27,3858,4.7
36,Capitals Coalition,6,123,4.7
37,Carnegie Mellon University,3,141,3.9
38,Case Western Reserve University,54,52092,4.7
39,CentraleSupélec,3,6048,4.2
40,CertNexus,72,8880,4.7
41,Check Point Software Technologies Ltd.,9,30,4.9
42,Cisco Learning and Certifications,42,1284,4.8
43,Codio,99,11862,4.6
44,Columbia University,144,247590,4.8
45,Commonwealth Education Trust,39,19887,4.7
46,CompTIA,9,0,
47,ConsenSys Academy,6,4986,4.7
48,Copenhagen Business School,36,62403,4.7
