reviews,reviewers,date_reviews,rating,course_id
"The course is not that challenging, it could be better, with more challenging tests and assignements.",By Sebastián R R,"Mar 17, 2018",3,financial-markets-global
"It's more of a course for the people who have prior knowledge on Finances. I wouldn't recommend it to laymen just looking for an introductory finance course. All in all, it was a good course.",By Shreyansh J,"Jan 15, 2018",3,financial-markets-global
"I am enjoying the course. It has lots of deep details, information, previews and questions. The reason I am joining it is to expand the understanding of the recent marketing. I would really recommend to have more activities interns of calculations and questions based math. It is great to enrolled in such course!",By Murtadha A,"Feb 13, 2018",3,financial-markets-global
"I found the professor way of talking too much slow. Also, the ideas were not very cleared discussed. ",By Eduardo A d O,"Sep 25, 2018",3,financial-markets-global
Not very efficiency,By baixue c,"Nov 01, 2018",3,financial-markets-global
nIce,By Max Y,"Nov 06, 2018",3,financial-markets-global
"This is an MBA level finance fundamentals course developed in 2016. Professor Shiller covers a very wide range of topics, but not in as much depth as I would have liked. The course could have been better arranged by splitting it into two (or even three) in order to provide more depth in the topics covered. I enjoyed the Professor's humor, and the application of a number of the topics in real world scenarios. I also enjoyed the salon's (Q&A with MBA students), chalk talk, and his TA providing important informational tid-bits during the lectures. I spent a lot of time pausing during the lectures to take detailed notes, forcing me to spend a lot more time than I would have liked each week, and so I didn't have time to contribute in the discussion forums.",By Mike Y W,"Apr 24, 2018",4,financial-markets-global
VERY GOOD COURSE. I ENJOYED A LOT,By SALAUDDEEN,"Dec 23, 2018",4,financial-markets-global
"I found this course to be very beneficial, and a great place to start for those intrigued by the movement and behaviour of the financial markets. Robert Shiller is an exceptional teacher, and has a skill that enables students to engage and easily learn from. I was very impressed with this course, although I found the assessment questions at times irrelevant to my learning and direction of pragmatism. All in all, I do recommend this course for everyone - even if finance is something you're not interested in - it gives you a good footing in developing solid financial knowledge and health.",By John J P G,"Jan 15, 2018",4,financial-markets-global
"This course is very beneficial to understand the basics of financial markets and the various elements and terms associated with financial markets. It would be even better if certain course reads are provided, for which the student need not buy a book.  Reading material, would be very helpful in gaining maximum out of this course.",By Chaitaly A,"Mar 21, 2018",4,financial-markets-global
It was a wonderful experience going through the entire length of the course where it covered almost all the fundamentals of finance and its application in the economy and society. It was mentored superbly by Professor Shiller...and inputs from his students made it more interactive.,By Anindya D,"Apr 26, 2018",4,financial-markets-global
"A concise and very well constructed course which provides a broad overview of how Financial Markets functions, the history and its implications. This course seems to be heavily bent on the US Markets, which can be looked at in future, so that it can be made more a generic course",By Vivek V,"Feb 14, 2018",4,financial-markets-global
