reviews,reviewers,date_reviews,rating,course_id
Some of the quizzes contained material not explicitly covered in the course. ,By Daniel F,"Dec 23, 2019",4,google-cbrs-cpi-training
"Probably the best certification course I've taken in this respect. The course is planned out carefully, and I believe gave me everything I needed to ace my exam the first time around. The trainer for the majority of the course was awesome. She delivered the material in a great, professional mannor, but was never boring or monotoned. ",By Luis M C,"Nov 21, 2019",5,google-cbrs-cpi-training
"Covered all of the required information in an easy to understand way and WITH VIDEO! Great, easy way to learn. The exam process was a bit drawn out and more extensive then it needed to be, but over all a great experience",By Ryan H,"Aug 26, 2019",5,google-cbrs-cpi-training
"Great course, i have feedback about one question and learning item id like to give feedback on. related to OMNI antennas",By Geoff T,"Jul 21, 2019",5,google-cbrs-cpi-training
"The course was fine but I never received an email to download mt certificate, I have the password. Please contact me.",By William J,"Jun 07, 2019",5,google-cbrs-cpi-training
Well presented course material that takes you step by step through the required learning. ,By Ariel R,"Sep 27, 2019",5,google-cbrs-cpi-training
Course is easy enough if you have a basic background of installing wireless equipment.,By Austin N,"Dec 27, 2019",5,google-cbrs-cpi-training
The instructions were clear and concise. I enjoyed the learning process.,By Jayson P J,"Nov 22, 2019",5,google-cbrs-cpi-training
Easy to follow. Did a good job at teaching me the material. ,By Robert S,"Nov 07, 2019",5,google-cbrs-cpi-training
"Material covered well, and easy to use application.",By Hugh H,"Sep 01, 2019",5,google-cbrs-cpi-training
easy to follow along with and understand,By Aaron M,"Oct 30, 2019",5,google-cbrs-cpi-training
Great course,By Mark B,"Dec 03, 2019",5,google-cbrs-cpi-training
Great Job!,By Brian M,"Jul 17, 2019",5,google-cbrs-cpi-training
WOOOO,By Del S,"Nov 14, 2019",5,google-cbrs-cpi-training
"This course is virtually worthless. I couldn't follow the lectures, and I have a PhD and have been a tenured professor for almost two decades. The online course is based on snippets taken from face-to-face lectures and breakout sessions, and the result is utter incoherence. The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material. This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch. This was wasted money and time. This attempt to capitalize on the Yale brand is pathetic.    ",By James R,"Apr 23, 2019",1,financial-markets-global
Terrible lecturer. Maybe he should retire. He can't stay on point. Lectures are unwatchable - except for the beautiful auditorium stage.,By Brendan F,"Jan 29, 2019",1,financial-markets-global
"It was not very interesting. The course needs to be more self-explanatory, with real world examples, and not dull",By Aniket G,"May 19, 2019",1,financial-markets-global
This was a terrible course. ,By Rose-Emily C,"Oct 09, 2019",1,financial-markets-global
too short videos,By Sudiksha,"Sep 01, 2019",1,financial-markets-global
"Mr. Shiller is a nice professor, but this course has many flaws so I did not complete it. First of all, it's almost entirely focused on the U.S. situation, so it's not really suitable for worldwide users.Then, it's quite disorganized. Lectures don't follow a logical thread and are put in a confused order. Quizzes have even some questions completely unrelated to the material of the previous lectures. I think Yale should provide better courses. Moreover, it's quite old (2016) so it's not updated to current events. ",By Marco v,"Nov 24, 2019",2,financial-markets-global
