Course_ID,Course_Name,Category,Duration (hours),Enrolled_Students,Completion_Rate (%),Platform,Price ($),Rating (out of 5)
1,Course_1,Office Tools,21,4217,50.646828,Coursera,38.797424,4.8112516
7,Course_7,Marketing,29,2607,71.830444,Coursera,155.54112,4.1018066
13,Course_13,Programming,23,3681,85.882385,Coursera,187.511,3.581096
16,Course_16,Office Tools,40,1172,56.726894,Coursera,24.666025,3.0516663
23,Course_23,Office Tools,30,1258,92.67762,Coursera,135.30087,4.5793877
25,Course_25,AI,30,1076,84.11985,Coursera,135.86621,3.0299273
27,Course_27,Office Tools,15,2940,78.79584,Coursera,120.63977,4.14545
28,Course_28,Data Science,12,3613,53.062595,Coursera,90.563896,4.5178576
36,Course_36,Office Tools,66,3603,86.38854,Coursera,161.34415,3.2532146
44,Course_44,Data Science,75,2331,65.381836,Coursera,172.9007,4.5064015
48,Course_48,AI,73,3820,77.41846,Coursera,149.5605,4.454384
58,Course_58,Finance,19,913,87.56454,Coursera,193.1209,4.1669784
59,Course_59,Office Tools,27,4472,99.09924,Coursera,131.04147,4.975869
63,Course_63,AI,54,2328,57.15519,Coursera,124.25959,3.0996995
65,Course_65,Technology,45,4801,54.738094,Coursera,22.414206,3.1601362
77,Course_77,Marketing,32,815,95.64612,Coursera,184.04204,3.2983263
82,Course_82,AI,84,2244,51.21694,Coursera,151.66342,3.1287754
90,Course_90,Data Science,42,3372,56.35507,Coursera,41.095028,3.41142
93,Course_93,Finance,14,4684,69.129265,Coursera,186.93015,4.209774
96,Course_96,Programming,42,3052,52.95944,Coursera,161.83986,3.2594981
98,Course_98,Design,49,2299,88.31334,Coursera,45.96752,3.1141047
100,Course_100,Marketing,22,4607,51.333336,Coursera,166.78032,4.1664085
102,Course_102,AI,77,861,83.21504,Coursera,145.43579,3.0438843
104,Course_104,Technology,78,1212,94.309944,Coursera,140.02354,3.9181607
112,Course_112,Programming,100,2615,68.14669,Coursera,96.45921,4.9796963
114,Course_114,Finance,45,2044,83.2681,Coursera,196.03566,4.9531155
115,Course_115,Finance,36,1012,88.27215,Coursera,22.678528,4.6997924
116,Course_116,AI,48,3947,90.741425,Coursera,45.674034,3.2726934
120,Course_120,Office Tools,51,3854,53.17234,Coursera,171.90668,4.8421607
123,Course_123,Data Science,73,3293,93.32625,Coursera,52.93608,3.0204666
125,Course_125,Office Tools,72,3288,76.75719,Coursera,135.8055,4.2196293
126,Course_126,Finance,27,4896,68.98121,Coursera,126.05596,4.575146
129,Course_129,Office Tools,14,1769,97.71002,Coursera,36.591812,3.179447
134,Course_134,Finance,86,1418,70.04399,Coursera,156.9981,3.8972547
