Course_ID,Course_Name,Category,Duration (hours),Enrolled_Students,Completion_Rate (%),Platform,Price ($),Rating (out of 5)
2,Course_2,Office Tools,57,4238,82.24024,edX,160.65099,3.8293295
3,Course_3,Technology,52,2700,55.729027,LinkedIn Learning,123.503784,4.85195
4,Course_4,Office Tools,69,4308,58.66473,LinkedIn Learning,116.7757,3.9137318
5,Course_5,Technology,43,4792,62.59815,Udemy,96.2467,4.921968
6,Course_6,Finance,66,3792,96.6719,edX,127.50992,3.2522836
8,Course_8,Design,21,964,99.07627,edX,79.94094,3.0887306
9,Course_9,Programming,57,1246,78.81762,LinkedIn Learning,174.67747,4.4984713
10,Course_10,Design,59,489,58.89607,edX,82.09482,3.3418674
11,Course_11,Finance,80,3118,92.79345,edX,194.04973,3.7162735
12,Course_12,Data Science,88,1590,60.89317,LinkedIn Learning,62.062786,4.604118
14,Course_14,Programming,61,3096,91.32513,edX,50.726135,4.213904
15,Course_15,Business,42,3272,81.31929,LinkedIn Learning,194.84242,3.7077308
17,Course_17,Programming,35,237,58.23479,Udemy,60.79261,3.1594238
18,Course_18,Technology,67,4418,96.34017,LinkedIn Learning,147.75798,3.5286665
19,Course_19,Finance,21,1548,90.769135,edX,45.057922,3.8014245
20,Course_20,Marketing,17,2884,64.6325,LinkedIn Learning,18.860434,4.4420786
21,Course_21,Office Tools,48,1025,93.514656,LinkedIn Learning,19.111845,4.2702622
22,Course_22,Data Science,62,2673,92.43578,Udemy,140.8863,3.9281423
24,Course_24,Office Tools,64,2598,51.293663,Udemy,66.15181,3.531685
26,Course_26,Finance,77,2996,62.599457,Udemy,178.47269,3.2617583
29,Course_29,Marketing,95,4489,56.861774,edX,159.10919,3.570877
30,Course_30,Design,60,2855,64.69835,Udemy,115.26479,4.6763587
31,Course_31,Marketing,47,2913,91.75642,edX,113.621086,3.5648904
32,Course_32,Design,26,4502,79.640144,LinkedIn Learning,144.84706,4.0321436
33,Course_33,Technology,52,2241,63.336697,LinkedIn Learning,62.53262,4.6239424
34,Course_34,Business,14,974,61.325886,edX,66.7918,4.7459483
35,Course_35,Programming,15,1025,74.97968,LinkedIn Learning,171.67946,3.8723092
37,Course_37,Programming,16,2179,78.08386,edX,158.73985,3.670443
38,Course_38,Finance,41,178,80.509926,Udemy,153.08543,4.798317
39,Course_39,AI,38,3989,66.40208,Udemy,26.085608,4.9911394
40,Course_40,Design,19,2883,55.631653,Udemy,119.05295,3.1217477
41,Course_41,Marketing,88,2840,78.8377,Udemy,36.01294,3.274703
42,Course_42,Technology,74,3265,52.9999,Udemy,41.328934,4.7543497
43,Course_43,Technology,57,1736,50.496197,Udemy,130.05092,3.7388434
45,Course_45,Office Tools,98,3821,69.94428,Udemy,117.92771,4.7249565
46,Course_46,Office Tools,22,2887,57.871918,LinkedIn Learning,140.64166,3.136272
47,Course_47,Business,97,2772,50.565723,edX,192.02505,4.505765
49,Course_49,AI,36,3756,72.48191,LinkedIn Learning,106.184586,4.5867286
50,Course_50,Programming,40,3089,52.071014,Udemy,74.364555,3.864729
51,Course_51,Design,50,2360,90.28899,Udemy,187.16046,4.8214774
52,Course_52,AI,50,1440,92.331345,LinkedIn Learning,34.6295,3.489268
53,Course_53,Technology,39,693,78.85998,edX,37.398285,3.4234145
54,Course_54,Programming,59,2172,78.10567,Udemy,58.6362,4.3891068
55,Course_55,Marketing,71,3016,69.905396,Udemy,120.01322,3.1761987
56,Course_56,Finance,55,3208,62.09485,Udemy,176.51067,3.0237455
57,Course_57,AI,15,317,68.18231,LinkedIn Learning,51.57319,4.5673547
60,Course_60,Programming,42,779,53.12773,LinkedIn Learning,147.59901,4.460157
61,Course_61,Data Science,27,304,64.31106,Udemy,132.72638,4.122075
62,Course_62,Office Tools,51,572,58.283096,edX,66.08652,3.222767
64,Course_64,Data Science,67,4328,81.982086,LinkedIn Learning,73.04623,4.4683776
66,Course_66,Data Science,14,1853,56.775703,Udemy,19.69559,3.0059788
67,Course_67,Design,87,2859,55.817844,Udemy,101.228615,4.059703
68,Course_68,Business,56,899,72.04091,edX,74.33346,4.8684955
69,Course_69,Office Tools,14,3252,67.49733,Udemy,11.295327,4.160689
70,Course_70,Technology,19,4683,74.61793,Udemy,198.47397,3.0675652
71,Course_71,Programming,41,1280,91.24667,Udemy,52.218285,3.556145
72,Course_72,AI,39,1893,89.43617,LinkedIn Learning,114.885956,4.5201354
73,Course_73,Office Tools,27,3265,73.74303,Udemy,118.52801,3.0939686
74,Course_74,Office Tools,23,3617,95.17826,Udemy,16.15347,4.653588
75,Course_75,Business,62,2638,53.778988,LinkedIn Learning,167.45297,3.1254506
76,Course_76,Business,87,2878,78.9383,LinkedIn Learning,161.46405,3.6824696
78,Course_78,Business,74,3650,51.242065,edX,91.23484,3.7653775
79,Course_79,Office Tools,26,955,92.92003,LinkedIn Learning,71.5069,3.1700368
80,Course_80,Business,27,426,83.11585,LinkedIn Learning,49.684227,4.2240567
81,Course_81,Office Tools,42,3324,56.166767,Udemy,30.301926,4.851886
83,Course_83,Office Tools,15,2588,95.790306,LinkedIn Learning,65.447586,4.578414
84,Course_84,Technology,28,4011,53.386093,LinkedIn Learning,195.4841,3.270106
85,Course_85,Technology,95,2161,91.01238,LinkedIn Learning,147.67697,3.786933
86,Course_86,Technology,61,3161,58.914776,edX,40.305977,3.3368886
87,Course_87,Marketing,53,197,67.0042,LinkedIn Learning,129.44945,3.8950338
88,Course_88,Data Science,67,2896,75.09362,edX,107.424286,3.4884336
89,Course_89,Design,65,935,53.416447,LinkedIn Learning,134.27931,3.479145
91,Course_91,Design,88,3178,86.89627,LinkedIn Learning,151.3539,4.578316
92,Course_92,Office Tools,63,141,55.7028,Udemy,48.507496,4.2417827
94,Course_94,Technology,79,2778,75.40449,Udemy,199.69124,3.6152275
95,Course_95,Technology,67,1458,93.09349,edX,161.25041,4.42496
97,Course_97,Business,57,4616,62.614952,LinkedIn Learning,140.47253,3.511512
99,Course_99,Design,54,4170,51.348392,edX,193.18524,4.043213
101,Course_101,Design,21,259,56.621136,Udemy,99.32185,4.6693907
